inst,cell,x_um,y_um,ir_orig_mV,ir_comp_mV,delta_mV
u1/g14154,INVx1_ASAP7_75t_SL,196.416,213.696,43.06,46.32,3.26
u0/u15_u6_g1923,NAND2xp5_ASAP7_75t_SL,190.368,188.856,43.05,44.44,1.39
u1/g29340,AOI21xp5_ASAP7_75t_SL,94.464,198.576,43.05,45.16,2.11
u0/g18666,INVx1_ASAP7_75t_SL,196.2,143.496,43.05,,
u1/u15_u0_g2026,INVx1_ASAP7_75t_SL,297.072,288.216,43.05,44.93,1.88
u0/L12_reg\[18\],,,,43.05,39.17,-3.88
u1/R1_reg\[13\],,,,43.05,43.15,0.1
u1/g28315,AO22x1_ASAP7_75t_SL,251.712,321.696,43.05,44.89,1.84
u2/u1_u5_g1938,INVx1_ASAP7_75t_SL,302.472,371.376,43.05,,
u0/L13_reg\[31\],,,,43.05,41.42,-1.63
u1/g30589,AO22x1_ASAP7_75t_SL,209.16,208.296,43.05,47.42,4.37
u1/g14082,OAI21xp5_ASAP7_75t_SL,197.712,205.056,43.05,47.3,4.25
u0/u15_u6_g1898,AOI22xp5_ASAP7_75t_SL,187.344,192.096,43.05,44.67,1.62
u1/FE_PHC3671_uk_K_r12_45,HB1xp67_ASAP7_75t_L,246.96,307.656,43.05,46.78,3.73
u2/g15921,AND3x1_ASAP7_75t_SL,371.16,288.216,43.05,,
u1/g18108,NOR2xp33_ASAP7_75t_SL,104.4,209.376,43.05,43.49,0.44
u0/g28016,AOI22xp5_ASAP7_75t_L,204.408,169.416,43.05,42.47,-0.58
u1/g16830,AOI22xp5_ASAP7_75t_SL,251.496,225.576,43.05,47.61,4.56
u0/u14_u2_g2022,INVx1_ASAP7_75t_SL,164.016,138.096,43.05,41.77,-1.28
u0/u14_u4_g2325,INVx1_ASAP7_75t_SL,192.744,153.216,43.05,42.01,-1.04
u2/u4_u6_g1906,AO22x1_ASAP7_75t_SL,322.992,255.816,43.05,,
u1/g11179,OR2x2_ASAP7_75t_SL,171.144,200.736,43.05,46.7,3.65
u1/u6_u4_g2276,OAI22xp5_ASAP7_75t_SL,137.664,281.736,43.05,47.6,4.55
u1/FE_PHC6145_uk_K_r5_50,HB1xp67_ASAP7_75t_SL,143.496,291.456,43.05,46.82,3.77
u1/uk_K_r9_reg\[1\],,,,43.04,47.9,4.86
u0/u14_u4_g2345,INVx1_ASAP7_75t_SL,183.672,158.616,43.04,43.29,0.25
u0/u14_u4_g2283,OAI321xp33_ASAP7_75t_SL,187.344,148.896,43.04,41.83,-1.21
u1/FE_PHC8036_uk_K_r0_48,HB1xp67_ASAP7_75t_SL,109.584,169.416,43.04,,
u0/u15_u6_g1911,INVx1_ASAP7_75t_SL,177.624,188.856,43.04,45.4,2.36
u0/g18692,NAND2xp5_ASAP7_75t_SL,193.824,141.336,43.04,,
u2/g15468,INVx1_ASAP7_75t_SL,348.048,375.696,43.04,,
u1/uk_K_r7_reg\[35\],,,,43.04,47.92,4.88
u1/u7_u2_g2036,INVx1_ASAP7_75t_SL,167.256,198.576,43.04,46.75,3.71
u0/u14_u2_g2052,INVx1_ASAP7_75t_SL,165.528,145.656,43.04,,
u0/u13_u0_g2059,INVx1_ASAP7_75t_SL,179.352,140.256,43.04,,
u1/uk_K_r7_reg\[49\],,,,43.04,47.93,4.89
u1/u2_u2_g1994,A2O1A1Ixp33_ASAP7_75t_SL,104.616,178.056,43.04,44.29,1.25
u0/u14_u2_g2054,INVx1_ASAP7_75t_SL,173.088,135.936,43.04,41.34,-1.7
u0/g18694,NAND2xp5_ASAP7_75t_SL,192.528,141.336,43.04,,
u0/u14_u4_g2332,NAND2xp5_ASAP7_75t_SL,191.232,152.136,43.04,,
u2/u5_u7_g2498,O2A1O1Ixp33_ASAP7_75t_SL,295.344,241.776,43.04,,
u1/FE_PHC3062_uk_K_r12_9,HB1xp67_ASAP7_75t_L,246.96,308.736,43.04,46.56,3.52
u1/u15_u7_g2940,INVx1_ASAP7_75t_SL,267.48,335.736,43.04,41.87,-1.17
