signal_name,scope,width,x_um,y_um,source_type,cell_type
FE_PHN1008_uk_K_r10_25,test.u0.u1,1,241.344,233.136,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1009_key_c_r_8_29,test.u0,1,34.416,333.576,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN100_R10_3,test.u0.u1,1,238.104,243.936,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1010_key_c_r_1_30,test.u0,1,14.76,263.376,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1011_R1_27,test.u0.u0,1,71.136,88.416,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1012_uk_K_r3_24,test.u0.u2,1,352.152,255.816,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1013_key_b_r_7_31,test.u0,1,39.384,251.496,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1014_key_b_r_12_31,test.u0,1,59.904,236.376,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1015_key_b_r_15_14,test.u0,1,49.752,175.896,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1016_key_b_r_8_54,test.u0,1,34.416,274.176,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1017_L13_8,test.u0.u1,1,276.552,286.056,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1018_L8_5,test.u0.u1,1,184.32,248.256,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1019_L8_1,test.u0.u2,1,306.36,166.176,net_driver,HB4xp67_ASAP7_75t_L
FE_PHN101_key_c_r_15_26,test.u0,1,70.92,334.656,net_driver,HB4xp67_ASAP7_75t_L
FE_PHN1020_key_b_r_1_30,test.u0,1,16.92,247.176,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1021_key_b_r_1_50,test.u0,1,13.248,289.296,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1022_key_c_r_19_45,test.u0,1,93.816,374.616,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1023_key_c_r_32_1,test.u0,1,215.424,350.856,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1024_key_c_r_0_17,test.u0,1,15.192,153.216,net_driver,DFFHQNx1_ASAP7_75t_L
FE_PHN1025_key_c_r_0_42,test.u0,1,8.28,321.696,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1026_key_c_r_0_50,test.u0,1,10.872,326.016,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1027_key_c_r_25_34,test.u0,1,142.416,351.936,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1028_key_b_r_1_4,test.u0,1,21.456,140.256,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1029_uk_K_r2_23,test.u0.u0,1,104.184,93.816,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN102_R13_21,test.u0.u0,1,194.04,175.896,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1030_key_b_r_6_10,test.u0,1,40.68,138.096,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1031_key_b_r_8_7,test.u0,1,43.488,140.256,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1032_key_b_r_9_53,test.u0,1,34.632,317.376,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1033_key_b_r_1_7,test.u0,1,21.024,170.496,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1034_key_b_r_1_11,test.u0,1,31.824,168.336,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1035_key_b_r_11_23,test.u0,1,44.568,208.296,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1036_key_b_r_11_46,test.u0,1,51.264,218.016,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1037_uk_K_r7_52,test.u0.u0,1,229.032,67.896,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1038_key_b_r_10_44,test.u0,1,46.944,280.656,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1039_R7_7,test.u0.u2,1,324.288,160.776,net_driver,HB2xp67_ASAP7_75t_SL
FE_PHN103_desIn_r_13,test.u0.u2,1,320.832,326.016,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1040_uk_K_r5_14,test.u0.u1,1,130.32,294.696,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1041_uk_K_r12_48,test.u0.u1,1,273.312,237.456,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1042_uk_K_r0_0,test.u0.u1,1,78.912,200.736,net_driver,HB2xp67_ASAP7_75t_L
FE_PHN1043_key_c_r_1_53,test.u0,1,14.76,333.576,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1044_stage2_out_43,test.u0.u2,1,255.6,360.576,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1045_key_c_r_9_50,test.u0,1,39.816,367.056,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1046_stage2_out_1,test.u0.u1,1,248.256,364.896,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1047_key_c_r_22_12,test.u0,1,137.664,324.936,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1048_uk_K_r0_2,test.u0.u2,1,311.544,356.256,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1049_key_c_r_15_1,test.u0,1,87.552,310.896,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN104_R13_6,test.u0.u2,1,360.36,93.816,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1050_key_c_r_9_30,test.u0,1,43.056,335.736,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1051_key_c_r_0_22,test.u0,1,21.456,185.616,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1052_key_b_r_8_34,test.u0,1,35.712,202.896,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1053_key_b_r_14_22,test.u0,1,53.208,219.096,net_driver,DFFHQx4_ASAP7_75t_SL
FE_PHN1054_key_b_r_16_42,test.u0.u1,1,60.768,215.856,net_driver,HB3xp67_ASAP7_75t_SL
FE_PHN1055_key_b_r_3_14,test.u0,1,19.296,192.096,net_driver,HB3xp67_ASAP7_75t_L
FE_PHN1056_uk_K_r12_47,test.u0.u2,1,350.424,83.016,net_driver,HB3xp67_ASAP7_75t_SL
